web-scraper-order,web-scraper-start-url,detail,pagi
"1650264018-305","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年8月6日，无新增本地新冠肺炎确诊病例 新增境外输入9例   治愈出院3例",""
"1650264018-722","https://wsjkw.sh.gov.cn/yqtb/index.html","上海6月26日无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院2例",""
"1650264018-494","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年1月25日，新增本地新冠肺炎确诊病例2例 新增境外输入8例  治愈出院1例",""
"1650264018-352","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年6月20日，无新增本地新冠肺炎确诊病例 新增境外输入1例",""
"1650264018-899","https://wsjkw.sh.gov.cn/yqtb/index.html","上海实现确诊儿童病例清零！今天又有3例确诊病例痊愈出院",""
"1650264018-65","https://wsjkw.sh.gov.cn/yqtb/index.html","3月26日（0-24时）本市各区确诊病例、无症状感染者居住地信息",""
"1650264018-587","https://wsjkw.sh.gov.cn/yqtb/index.html","上海10月27日无新增本地新冠肺炎确诊病例 新增境外输入7例  治愈出院2例",""
"1650264018-310","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年8月2日，新增本地新冠肺炎确诊病例1例 新增境外输入3例 治愈出院4例",""
"1650264018-621","https://wsjkw.sh.gov.cn/yqtb/index.html","上海9月23日无新增本地新冠肺炎确诊病例 新增境外输入2例 治愈出院3例",""
"1650264018-747","https://wsjkw.sh.gov.cn/yqtb/index.html","上海6月5日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 治愈出院1例",""
"1650264018-751","https://wsjkw.sh.gov.cn/yqtb/index.html","上海6月3日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例",""
"1650264018-265","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年9月10日，无新增本地新冠肺炎确诊病例 新增境外输入2例   治愈出院4例",""
"1650264018-200","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年11月25日，新增本地新冠肺炎确诊病例3例 新增境外输入1例  治愈出院3例",""
"1650264018-709","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有3例确诊病例今日出院，共计688例治愈出院",""
"1650264018-392","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年5月11日，无新增本地新冠肺炎确诊病例 新增境外输入3例 治愈出院3例",""
"1650264018-440","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年3月22日，无新增本地新冠肺炎确诊病例 新增境外输入1例 治愈出院4例",""
"1650264018-497","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年1月22日，新增本地新冠肺炎确诊病例3例 新增境外输入8例  治愈出院1例",""
"1650264018-592","https://wsjkw.sh.gov.cn/yqtb/index.html","上海10月22日无新增本地新冠肺炎确诊病例 新增境外输入9例  治愈出院2例",""
"1650264018-468","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年2月22日，无新增本地新冠肺炎确诊病例 无新增境外输入性确诊病例 治愈出院6例",""
"1650264018-572","https://wsjkw.sh.gov.cn/yqtb/index.html","上海11月11日无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院3例",""
"1650264018-298","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年8月13日，无新增本地新冠肺炎确诊病例 新增境外输入5例   治愈出院6例",""
"1650264018-692","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有2例确诊病例今日出院，共计708例治愈出院",""
"1650264018-645","https://wsjkw.sh.gov.cn/yqtb/index.html","上海8月30日无新增本地新冠肺炎确诊病例 新增境外输入6例  治愈出院6例",""
"1650264018-644","https://wsjkw.sh.gov.cn/yqtb/index.html","上海8月31日无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院5例",""
"1650264018-366","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年6月6日，无新增本地新冠肺炎确诊病例 新增境外输入4例",""
"1650264018-225","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年10月23日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院1例",""
"1650264018-314","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年7月29日，无新增本地新冠肺炎确诊病例 新增境外输入7例  治愈出院3例",""
"1650264018-26","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月15日，新增本土新冠肺炎确诊病例3590例 新增本土无症状感染者19923例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者2例",""
"1650264018-68","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年3月25日，新增本土新冠肺炎确诊病例38例 新增本土无症状感染者2231例 新增境外输入性新冠肺炎确诊病例9例 新增境外输入性无症状感染者2例 治愈出院21例  解除医学观察无症状感染者110例",""
"1650264018-520","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年1月1日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院8例",""
"1650264018-819","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有10例确诊病例今日出院，共计568例治愈出院",""
"1650264018-701","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有1例确诊病例今日出院，共计690例治愈出院",""
"1650264018-902","https://wsjkw.sh.gov.cn/yqtb/index.html","昨日12-24时，上海无新增新型冠状病毒肺炎确诊病例",""
"1650264018-57","https://wsjkw.sh.gov.cn/yqtb/index.html","3月30日（0-24时）本市各区确诊病例、无症状感染者居住地信息",""
"1650264018-216","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年11月9日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院8例",""
"1650264018-774","https://wsjkw.sh.gov.cn/yqtb/index.html","上海5月20日新增1例湖北来沪新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 新增治愈出院3例",""
"1650264018-132","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年1月28日，无新增本土新冠肺炎确诊病例 新增境外输入10例  治愈出院29例 解除医学观察无症状感染者1例",""
"1650264018-433","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年3月30日，无新增本地新冠肺炎确诊病例 无新增境外输入病例 治愈出院1例",""
"1650264018-539","https://wsjkw.sh.gov.cn/yqtb/index.html","上海12月13日无新增本地新冠肺炎确诊病例 新增境外输入7例  治愈出院4例",""
"1650264018-274","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年9月1日，无新增本地新冠肺炎确诊病例 新增境外输入6例  治愈出院3例",""
"1650264018-384","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年5月19日，无新增本地新冠肺炎确诊病例 新增境外输入2例 治愈出院2例",""
"1650264018-991","https://wsjkw.sh.gov.cn/yqtb/index.html","上海首例新型冠状病毒感染的肺炎确诊病例治愈出院",""
"1650264018-488","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年1月31日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院4例",""
"1650264018-324","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年7月19日，无新增本地新冠肺炎确诊病例 新增境外输入3例 治愈出院3例",""
"1650264018-872","https://wsjkw.sh.gov.cn/yqtb/index.html","上海3月27日无新增本地新冠肺炎确诊病例 新增境外输入17例  治愈出院3例",""
"1650264018-542","https://wsjkw.sh.gov.cn/yqtb/index.html","上海12月10日无新增本地新冠肺炎确诊病例 新增境外输入5例",""
"1650264018-672","https://wsjkw.sh.gov.cn/yqtb/index.html","上海8月5日无新增本地新冠肺炎确诊病例 新增境外输入5例",""
"1650264018-864","https://wsjkw.sh.gov.cn/yqtb/index.html","上海4月1日无新增本地新冠肺炎确诊病例 新增境外输入6例 治愈出院2例",""
"1650264018-187","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年12月7日，新增本土新冠肺炎确诊病例1例 新增境外输入8例  治愈出院2例",""
"1650264018-102","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年2月27日，无新增本土新冠肺炎确诊病例 新增本土无症状感染者1例 新增境外输入性新冠肺炎确诊病例45例 新增境外输入性无症状感染者10例 治愈出院10例",""
"1650264018-758","https://wsjkw.sh.gov.cn/yqtb/index.html","上海5月29日无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院2例",""
"1650264018-707","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有1例确诊病例今日出院，共计689例治愈出院",""
"1650264018-39","https://wsjkw.sh.gov.cn/yqtb/index.html","4月8日（0-24时）本市各区确诊病例、无症状感染者居住地信息",""
"1650264018-186","https://wsjkw.sh.gov.cn/yqtb/index.html","上海12月7日新增1例本土确诊病例，11334名相关人员核酸检测结果均为阴性",""
"1650264018-794","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有1例确诊病例今日出院，共计627例治愈出院",""
"1650264018-519","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年1月2日，无新增本地新冠肺炎确诊病例 新增境外输入6例   治愈出院4例",""
"1650264018-808","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有13例确诊病例今日出院，共计612例治愈出院",""
"1650264018-574","https://wsjkw.sh.gov.cn/yqtb/index.html","上海11月9日新增1例本地新冠肺炎确诊病例 新增境外输入4例  治愈出院8例",""
"1650264018-617","https://wsjkw.sh.gov.cn/yqtb/index.html","上海9月27日无新增本地新冠肺炎确诊病例 新增境外输入10例  治愈出院2例",""
"1650264018-351","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年6月21日,无新增本地新冠肺炎确诊病例 新增境外输入1例 治愈出院7例",""
"1650264018-465","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年2月25日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院10例",""
"1650264018-167","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年12月26日，无新增本土新冠肺炎确诊病例 新增境外输入11例 治愈出院6例",""
"1650264018-471","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年2月18日，无新增本地新冠肺炎确诊病例 新增境外输入病例7例 治愈出院6例",""
"1650264018-386","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年5月17日，无新增本地新冠肺炎确诊病例 新增境外输入4例 治愈出院5例",""
"1650264018-533","https://wsjkw.sh.gov.cn/yqtb/index.html","上海12月19日无新增本地新冠肺炎确诊病例 新增境外输入11例  治愈出院10例",""
"1650264018-447","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年3月15日，无新增本地新冠肺炎确诊病例 新增境外输入5例 治愈出院3例",""
"1650264018-294","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年8月17日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院4例",""
"1650264018-848","https://wsjkw.sh.gov.cn/yqtb/index.html","上海4月10日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 治愈出院13例",""
"1650264018-297","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年8月14日，无新增本地新冠肺炎确诊病例 新增境外输入6例   治愈出院1例",""
"1650264018-388","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年5月15日，无新增本地新冠肺炎确诊病例 新增境外输入2例 治愈出院3例",""
"1650264018-677","https://wsjkw.sh.gov.cn/yqtb/index.html","上海7月31日无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院2例",""
"1650264018-933","https://wsjkw.sh.gov.cn/yqtb/index.html","上海公布2月20日（0-24时） 确诊病例涉及区域和场所情况",""
"1650264018-268","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年9月7日，无新增本地新冠肺炎确诊病例 新增境外输入6例  治愈出院2例",""
"1650264018-779","https://wsjkw.sh.gov.cn/yqtb/index.html","上海5月18日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例",""
"1650264018-598","https://wsjkw.sh.gov.cn/yqtb/index.html","上海10月16日无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院1例",""
"1650264018-717","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有2例确诊病例今日出院，共计677例治愈出院",""
"1650264018-868","https://wsjkw.sh.gov.cn/yqtb/index.html","上海3月30日无新增本地新冠肺炎确诊病例，新增境外输入11例",""
"1650264018-445","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年3月17日，无新增本地新冠肺炎确诊病例 新增境外输入2例 治愈出院5例",""
"1650264018-564","https://wsjkw.sh.gov.cn/yqtb/index.html","上海11月19日无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院8例",""
"1650264018-992","https://wsjkw.sh.gov.cn/yqtb/index.html","上海确诊第二例输入性 新型冠状病毒感染的肺炎病例",""
"1650264018-509","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年1月12日,无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院6例",""
"1650264018-342","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年7月1日，无新增本地新冠肺炎确诊病例 新增境外输入3例 治愈出院4例",""
"1650264018-917","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有2例确诊病例3月2日出院",""
"1650264018-422","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年4月11日，无新增本地新冠肺炎确诊病例 新增境外输入3例",""
"1650264018-597","https://wsjkw.sh.gov.cn/yqtb/index.html","上海10月17日无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院6例",""
"1650264018-290","https://wsjkw.sh.gov.cn/yqtb/index.html","沪新增2例本土确诊病例，8469名相关人员核酸检测结果均为阴性",""
"1650264018-653","https://wsjkw.sh.gov.cn/yqtb/index.html","上海8月22日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 治愈出院3例",""
"1650264018-659","https://wsjkw.sh.gov.cn/yqtb/index.html","上海8月16日无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院4例",""
"1650264018-977","https://wsjkw.sh.gov.cn/yqtb/index.html","上海新增10例新型冠状病毒感染的肺炎确诊病例",""
"1650264018-711","https://wsjkw.sh.gov.cn/yqtb/index.html","上海7月5日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例",""
"1650264018-192","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年12月2日，新增本土新冠肺炎确诊病例2例 新增境外输入6例  治愈出院7例",""
"1650264018-945","https://wsjkw.sh.gov.cn/yqtb/index.html","岳阳医院发现一隐瞒病情的确诊病例？市卫健委通报了！",""
"1650264018-76","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年3月21日，新增本土新冠肺炎确诊病例31例 新增本土无症状感染者865例 新增境外输入性新冠肺炎确诊病例8例 新增境外输入性无症状感染者3例 治愈出院140例  解除医学观察无症状感染者186例",""
"1650264018-732","https://wsjkw.sh.gov.cn/yqtb/index.html","上海6月18日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例",""
"1650264018-918","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有3例确诊病例3月1日出院",""
"1650264018-44","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月6日，新增本土新冠肺炎确诊病例322例 新增本土无症状感染者19660例 新增境外输入性新冠肺炎确诊病例7例 新增境外输入性无症状感染者1例 治愈出院47例",""
"1650264018-683","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有1例确诊病例今日出院，共计718例治愈出院",""
"1650264018-627","https://wsjkw.sh.gov.cn/yqtb/index.html","上海9月17日无新增本地新冠肺炎确诊病例 新增境外输入12例",""
"1650264018-888","https://wsjkw.sh.gov.cn/yqtb/index.html","上海昨日无新增本地新冠肺炎确诊病例，新增境外输入2例，治愈出院1例",""
"1650264018-527","https://wsjkw.sh.gov.cn/yqtb/index.html","上海12月25日无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院3例",""
"1650264018-951","https://wsjkw.sh.gov.cn/yqtb/index.html","快讯！上海又有28例确诊病例今日痊愈出院，目前共90例出院",""
"1650264018-21","https://wsjkw.sh.gov.cn/yqtb/index.html","4月17日（0-24时）本市各区确诊病例、无症状感染者居住地信息",""
"1650264018-893","https://wsjkw.sh.gov.cn/yqtb/index.html","今天又有1例确诊病例痊愈出院，累计325人",""
"1650264018-170","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年12月23日，无新增本土新冠肺炎确诊病例 新增境外输入8例  治愈出院2例 解除医学观察无症状感染者1例",""
"1650264018-441","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年3月21日，无新增本地新冠肺炎确诊病例 新增境外输入3例 治愈出院3例",""
"1650264018-136","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年1月24日，新增本土新冠肺炎确诊病例1例 新增境外输入10例  治愈出院13例 解除医学观察无症状感染者2例",""
"1650264018-905","https://wsjkw.sh.gov.cn/yqtb/index.html","今天0-12时，上海新增2例输入型新型冠状病毒肺炎确诊病例",""
"1650264018-238","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年10月11日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院9例",""
"1650264018-568","https://wsjkw.sh.gov.cn/yqtb/index.html","上海11月15日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 治愈出院9例",""
"1650264018-578","https://wsjkw.sh.gov.cn/yqtb/index.html","上海11月5日无新增本地新冠肺炎确诊病例 新增境外输入15例  治愈出院5例",""
"1650264018-369","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年6月3日，无新增本地新冠肺炎确诊病例 新增境外输入5例 治愈出院5例",""
"1650264018-838","https://wsjkw.sh.gov.cn/yqtb/index.html","上海4月15日无新增本地新冠肺炎确诊病例 新增境外输入6例 治愈出院17例",""
"1650264018-211","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年11月14日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院3例",""
"1650264018-232","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年10月17日，无新增本地新冠肺炎确诊病例 新增境外输入6例  治愈出院5例",""
"1650264018-631","https://wsjkw.sh.gov.cn/yqtb/index.html","上海9月13日无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院7例",""
"1650264018-730","https://wsjkw.sh.gov.cn/yqtb/index.html","上海6月20日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例",""
"1650264018-772","https://wsjkw.sh.gov.cn/yqtb/index.html","上海5月21日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 新增治愈出院1例",""
"1650264018-748","https://wsjkw.sh.gov.cn/yqtb/index.html","关于《上海市医疗卫生人员权益保障办法（草案）》征询公众意见的公告（已结束）",""
"1650264018-638","https://wsjkw.sh.gov.cn/yqtb/index.html","上海9月6日无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院3例",""
"1650264018-482","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年2月6日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院5例",""
"1650264018-495","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年1月24日，新增本地新冠肺炎确诊病例1例 新增境外输入2例  治愈出院9例",""
"1650264018-685","https://wsjkw.sh.gov.cn/yqtb/index.html","上海7月25日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 治愈出院4例",""
"1650264018-869","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有4例确诊病例今日出院，共计338例治愈出院",""
"1650264018-658","https://wsjkw.sh.gov.cn/yqtb/index.html","上海8月17日0-24时，无新增本地新冠肺炎确诊病例 新增境外输入14例  治愈出院3例",""
"1650264018-777","https://wsjkw.sh.gov.cn/yqtb/index.html","上海5月19日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 新增治愈出院1例",""
"1650264018-86","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年3月14日，新增本土新冠肺炎确诊病例9例 新增本土无症状感染者130例 新增境外输入性新冠肺炎确诊病例12例 新增境外输入性无症状感染者3例 治愈出院15例  解除医学观察无症状感染者9例",""
"1650264018-289","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年8月20日，新增本地新冠肺炎确诊病例2例 新增境外输入2例   治愈出院6例",""
"1650264018-741","https://wsjkw.sh.gov.cn/yqtb/index.html","上海6月10日无新增本地新冠肺炎确诊病例 新增境外输入6例",""
"1650264018-640","https://wsjkw.sh.gov.cn/yqtb/index.html","上海9月4日无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院6例",""
"1650264018-122","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年2月7日，无新增本土新冠肺炎确诊病例 新增境外输入15例  治愈出院14例 解除医学观察无症状感染者1例",""
"1650264018-269","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年9月6日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院9例",""
"1650264018-884","https://wsjkw.sh.gov.cn/yqtb/index.html","上海昨日无新增本地新冠肺炎确诊病例，治愈出院1例，死亡1例，新增境外输入14例",""
"1650264018-982","https://wsjkw.sh.gov.cn/yqtb/index.html","上海新增16例新型冠状病毒感染的肺炎确诊病例",""
"1650264018-179","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年12月14日，无新增本土新冠肺炎确诊病例 新增境外输入3例  治愈出院2例",""
"1650264018-236","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年10月13日，无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院1例",""
"1650264018-781","https://wsjkw.sh.gov.cn/yqtb/index.html","上海公布5月17日（0-24时）外地输入性病例涉及区域和场所情况",""
"1650264018-94","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年3月7日，新增本土新冠肺炎确诊病例4例 新增本土无症状感染者51例 新增境外输入性新冠肺炎确诊病例36例 新增境外输入性无症状感染者10例 治愈出院27例  解除医学观察无症状感染者10例",""
"1650264018-168","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年12月25日，无新增本土新冠肺炎确诊病例 新增境外输入18例  治愈出院7例",""
"1650264018-262","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年9月13日，无新增本地新冠肺炎确诊病例 新增境外输入6例 治愈出院7例",""
"1650264018-559","https://wsjkw.sh.gov.cn/yqtb/index.html","上海11月23日新增1例本地新冠肺炎确诊病例 新增境外输入3例  治愈出院6例",""
"1650264018-474","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年2月15日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院12例",""
"1650264018-656","https://wsjkw.sh.gov.cn/yqtb/index.html","上海8月19日0-24时，无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院15例",""
"1650264018-203","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年11月22日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院6例",""
"1650264018-940","https://wsjkw.sh.gov.cn/yqtb/index.html","上海公布2月16日（0-24时） 确诊病例涉及区域和场所情况",""
"1650264018-293","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2021年8月18日，新增本地新冠肺炎确诊病例1例 新增境外输入5例  治愈出院6例",""
"1650264018-930","https://wsjkw.sh.gov.cn/yqtb/index.html","今天0-12时，上海新增1例新型冠状病毒肺炎确诊病例",""
"1650264018-571","https://wsjkw.sh.gov.cn/yqtb/index.html","上海11月12日无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院7例",""
"1650264018-924","https://wsjkw.sh.gov.cn/yqtb/index.html","上海公布2月25日（0-24时） 确诊病例涉及区域和场所情况",""
"1650264018-839","https://wsjkw.sh.gov.cn/yqtb/index.html","上海有17例确诊病例今日出院，共计485例治愈出院",""
